f,S21
0,NaN
1,1
2,1
3,0.999999999
4,0.999999996
5,0.999999991
6,0.999999981
7,0.999999964
8,0.999999939
9,0.999999902
10,0.99999985
11,0.99999978
12,0.999999689
13,0.999999572
14,0.999999424
15,0.99999924
16,0.999999016
17,0.999998746
18,0.999998424
19,0.999998043
20,0.999997597
21,0.999997079
22,0.999996482
23,0.999995798
24,0.999995019
25,0.999994137
26,0.999993143
27,0.999992028
28,0.999990784
29,0.999989401
30,0.99998787
31,0.999986181
32,0.999984323
33,0.999982288
34,0.999980064
35,0.999977641
36,0.999975008
37,0.999972155
38,0.999969071
39,0.999965745
40,0.999962167
41,0.999958324
42,0.999954207
43,0.999949803
44,0.999945102
45,0.999940093
46,0.999934765
47,0.999929106
48,0.999923105
49,0.999916752
50,0.999910036
51,0.999902944
52,0.999895467
53,0.999887594
54,0.999879314
55,0.999870616
56,0.999861489
57,0.999851924
58,0.999841909
59,0.999831434
60,0.99982049
61,0.999809066
62,0.999797151
63,0.999784737
64,0.999771813
65,0.99975837
66,0.999744399
67,0.999729889
68,0.999714832
69,0.999699218
70,0.999683039
71,0.999666286
72,0.99964895
73,0.999631023
74,0.999612496
75,0.999593361
76,0.99957361
77,0.999553235
78,0.999532229
79,0.999510583
80,0.99948829
81,0.999465343
82,0.999441735
83,0.999417459
84,0.999392508
85,0.999366875
86,0.999340554
87,0.999313539
88,0.999285822
89,0.999257399
90,0.999228263
91,0.999198409
92,0.999167831
93,0.999136524
94,0.999104481
95,0.999071699
96,0.999038173
97,0.999003897
98,0.998968866
99,0.998933078
100,0.998896526
101,0.998859207
102,0.998821117
103,0.998782251
104,0.998742607
105,0.99870218
106,0.998660967
107,0.998618965
108,0.998576171
109,0.998532581
110,0.998488192
111,0.998443002
112,0.998397009
113,0.998350208
114,0.998302599
115,0.998254179
116,0.998204946
117,0.998154898
118,0.998104032
119,0.998052348
120,0.997999843
121,0.997946516
122,0.997892366
123,0.997837391
124,0.99778159
125,0.997724962
126,0.997667507
127,0.997609223
128,0.997550109
129,0.997490165
130,0.997429391
131,0.997367786
132,0.997305349
133,0.997242081
134,0.997177981
135,0.99711305
136,0.997047287
137,0.996980692
138,0.996913267
139,0.99684501
140,0.996775923
141,0.996706007
142,0.996635261
143,0.996563686
144,0.996491283
145,0.996418054
146,0.996343999
147,0.996269118
148,0.996193414
149,0.996116886
150,0.996039538
151,0.995961368
152,0.99588238
153,0.995802575
154,0.995721953
155,0.995640517
156,0.995558269
157,0.995475209
158,0.99539134
159,0.995306664
160,0.995221182
161,0.995134896
162,0.995047809
163,0.994959922
164,0.994871237
165,0.994781757
166,0.994691484
167,0.99460042
168,0.994508568
169,0.994415929
170,0.994322506
171,0.994228302
172,0.994133319
173,0.99403756
174,0.993941027
175,0.993843723
176,0.99374565
