f,S21
0,NaN
1,1
2,1
3,0.999999998
4,0.999999995
5,0.999999988
6,0.999999976
7,0.999999955
8,0.999999924
9,0.999999878
10,0.999999814
11,0.999999728
12,0.999999615
13,0.999999469
14,0.999999286
15,0.999999059
16,0.999998782
17,0.999998447
18,0.999998049
19,0.999997579
20,0.99999703
21,0.999996393
22,0.999995661
23,0.999994824
24,0.999993873
25,0.999992801
26,0.999991597
27,0.999990253
28,0.999988759
29,0.999987106
30,0.999985284
31,0.999983285
32,0.999981098
33,0.999978714
34,0.999976124
35,0.999973317
36,0.999970286
37,0.99996702
38,0.999963511
39,0.99995975
40,0.999955728
41,0.999951437
42,0.999946868
43,0.999942012
44,0.999936862
45,0.999931409
46,0.999925645
47,0.999919562
48,0.999913153
49,0.99990641
50,0.999899325
51,0.999891891
52,0.999884102
53,0.999875952
54,0.999867432
55,0.999858538
56,0.999849263
57,0.999839602
58,0.999829548
59,0.999819096
60,0.999808241
61,0.999796977
62,0.999785299
63,0.999773203
64,0.999760683
65,0.999747736
66,0.999734356
67,0.999720541
68,0.999706285
69,0.999691587
70,0.999676442
71,0.999660847
72,0.999644799
73,0.999628295
74,0.999611333
75,0.999593909
76,0.999576021
77,0.999557667
78,0.999538844
79,0.99951955
80,0.999499785
81,0.999479545
82,0.99945883
83,0.999437638
84,0.999415969
85,0.999393821
86,0.999371193
87,0.999348085
88,0.999324496
89,0.999300426
90,0.999275873
91,0.999250838
92,0.999225319
93,0.999199318
94,0.999172834
95,0.999145867
96,0.999118418
97,0.999090487
98,0.999062075
99,0.999033182
100,0.99900381
101,0.998973958
102,0.998943629
103,0.998912822
104,0.998881539
105,0.99884978
106,0.998817547
107,0.998784841
108,0.998751664
109,0.998718016
110,0.9986839
111,0.998649316
112,0.998614268
113,0.998578757
114,0.998542784
115,0.998506351
116,0.99846946
117,0.998432114
118,0.998394313
119,0.998356061
120,0.998317358
121,0.998278208
122,0.998238612
123,0.998198572
124,0.998158091
125,0.998117171
126,0.998075815
127,0.998034025
128,0.997991804
129,0.997949155
130,0.997906079
131,0.997862579
132,0.997818658
133,0.997774318
134,0.997729562
135,0.997684392
136,0.997638812
137,0.997592823
138,0.997546428
139,0.997499631
140,0.997452434
141,0.997404841
142,0.997356853
143,0.997308473
144,0.997259706
145,0.997210552
146,0.997161016
147,0.9971111
148,0.997060807
149,0.99701014
150,0.996959101
151,0.996907693
152,0.99685592
153,0.996803784
154,0.996751289
155,0.996698437
156,0.996645231
157,0.996591675
158,0.996537771
159,0.996483522
160,0.996428931
161,0.996374001
162,0.996318736
163,0.996263137
164,0.996207208
165,0.996150951
166,0.99609437
167,0.996037468
168,0.995980248
169,0.995922713
170,0.995864864
171,0.995806707
172,0.995748242
173,0.995689474
174,0.995630406
175,0.995571039
176,0.995511378
