f,S21
0,1.001694275
1,1.001639709
2,1.001584974
3,1.001530071
4,1.001474998
5,1.001419754
6,1.00136434
7,1.001308754
8,1.001252995
9,1.001197064
10,1.001140959
11,1.001084679
12,1.001028224
13,1.000971594
14,1.000914787
15,1.000857803
16,1.000800641
17,1.0007433
18,1.00068578
19,1.000628081
20,1.0005702
21,1.000512138
22,1.000453894
23,1.000395467
24,1.000336856
25,1.000278062
26,1.000219082
27,1.000159916
28,1.000100564
29,1.000041025
30,0.999981298
31,0.999921383
32,0.999861278
33,0.999800982
34,0.999740497
35,0.999679819
36,0.999618949
37,0.999557887
38,0.99949663
39,0.999435179
40,0.999373533
41,0.99931169
42,0.999249651
43,0.999187415
44,0.99912498
45,0.999062346
46,0.998999513
47,0.998936479
48,0.998873244
49,0.998809807
50,0.998746167
51,0.998682324
52,0.998618276
53,0.998554024
54,0.998489565
55,0.998424901
56,0.998360028
57,0.998294948
58,0.99822966
59,0.998164161
60,0.998098453
61,0.998032533
62,0.997966402
63,0.997900058
64,0.997833501
65,0.997766729
66,0.997699743
67,0.997632541
68,0.997565123
69,0.997497488
70,0.997429635
71,0.997361563
72,0.997293272
73,0.997224761
74,0.997156029
75,0.997087075
76,0.997017899
77,0.9969485
78,0.996878877
79,0.996809029
80,0.996738956
81,0.996668657
82,0.996598131
83,0.996527377
84,0.996456395
85,0.996385184
86,0.996313743
87,0.996242071
88,0.996170168
89,0.996098033
90,0.996025665
91,0.995953064
92,0.995880228
93,0.995807158
94,0.995733852
95,0.995660309
96,0.995586529
97,0.995512512
98,0.995438256
99,0.99536376
100,0.995289025
101,0.995214049
102,0.995138831
103,0.995063372
104,0.99498767
105,0.994911724
106,0.994835534
107,0.9947591
108,0.99468242
109,0.994605494
110,0.994528321
111,0.9944509
112,0.994373232
113,0.994295314
114,0.994217148
115,0.994138731
116,0.994060063
117,0.993981144
118,0.993901973
119,0.99382255
120,0.993742873
121,0.993662943
122,0.993582758
123,0.993502318
124,0.993421623
125,0.993340671
126,0.993259463
127,0.993177997
128,0.993096274
129,0.993014292
130,0.992932051
131,0.99284955
132,0.99276679
133,0.992683769
134,0.992600487
135,0.992516943
136,0.992433137
137,0.992349068
138,0.992264737
139,0.992180142
140,0.992095282
141,0.992010159
142,0.99192477
143,0.991839116
144,0.991753197
145,0.991667011
146,0.991580558
147,0.991493839
148,0.991406852
149,0.991319597
150,0.991232074
151,0.991144283
152,0.991056223
153,0.990967894
154,0.990879295
155,0.990790427
156,0.990701288
157,0.990611879
158,0.9905222
