f,S21
0,NaN
1,1
2,1
3,1
4,1
5,1
6,0.999999999
7,0.999999999
8,0.999999998
9,0.999999997
10,0.999999995
11,0.999999992
12,0.999999989
13,0.999999985
14,0.99999998
15,0.999999974
16,0.999999966
17,0.999999957
18,0.999999946
19,0.999999933
20,0.999999917
21,0.9999999
22,0.999999879
23,0.999999855
24,0.999999829
25,0.999999798
26,0.999999764
27,0.999999725
28,0.999999682
29,0.999999635
30,0.999999582
31,0.999999523
32,0.999999459
33,0.999999388
34,0.999999311
35,0.999999226
36,0.999999134
37,0.999999035
38,0.999998927
39,0.99999881
40,0.999998685
41,0.999998549
42,0.999998404
43,0.999998249
44,0.999998082
45,0.999997904
46,0.999997715
47,0.999997513
48,0.999997299
49,0.999997072
50,0.999996831
51,0.999996576
52,0.999996306
53,0.999996022
54,0.999995722
55,0.999995406
56,0.999995074
57,0.999994725
58,0.999994359
59,0.999993975
60,0.999993573
61,0.999993152
62,0.999992713
63,0.999992253
64,0.999991774
65,0.999991274
66,0.999990753
67,0.999990211
68,0.999989648
69,0.999989062
70,0.999988453
71,0.999987821
72,0.999987166
73,0.999986487
74,0.999985783
75,0.999985055
76,0.999984301
77,0.999983522
78,0.999982717
79,0.999981886
80,0.999981028
81,0.999980142
82,0.99997923
83,0.999978289
84,0.99997732
85,0.999976322
86,0.999975295
87,0.999974239
88,0.999973153
89,0.999972036
90,0.99997089
91,0.999969713
92,0.999968504
93,0.999967264
94,0.999965992
95,0.999964689
96,0.999963352
97,0.999961983
98,0.999960581
99,0.999959146
100,0.999957677
101,0.999956174
102,0.999954637
103,0.999953065
104,0.999951459
105,0.999949818
106,0.999948141
107,0.999946429
108,0.999944681
109,0.999942898
110,0.999941077
111,0.999939221
112,0.999937327
113,0.999935397
114,0.99993343
115,0.999931425
116,0.999929382
117,0.999927302
118,0.999925184
119,0.999923028
120,0.999920833
121,0.9999186
122,0.999916328
123,0.999914017
124,0.999911667
125,0.999909278
126,0.999906849
127,0.999904381
128,0.999901873
129,0.999899326
130,0.999896738
131,0.999894111
132,0.999891443
133,0.999888735
134,0.999885986
135,0.999883197
136,0.999880367
137,0.999877496
138,0.999874584
139,0.999871631
140,0.999868638
141,0.999865603
142,0.999862526
143,0.999859409
144,0.99985625
145,0.999853049
146,0.999849807
147,0.999846523
148,0.999843198
149,0.999839831
150,0.999836422
151,0.999832971
152,0.999829478
153,0.999825943
154,0.999822367
155,0.999818748
156,0.999815087
157,0.999811385
158,0.99980764
159,0.999803853
160,0.999800024
161,0.999796153
162,0.999792239
163,0.999788284
164,0.999784286
165,0.999780246
166,0.999776164
167,0.99977204
168,0.999767873
169,0.999763665
170,0.999759414
171,0.999755121
172,0.999750787
173,0.99974641
174,0.999741991
175,0.99973753
176,0.999733027
177,0.999728482
178,0.999723895
