f,S21
0,1.001384731
1,1.001315806
2,1.00124932
3,1.001185212
4,1.001123419
5,1.001063881
6,1.001006537
7,1.000951325
8,1.000898187
9,1.000847062
10,1.000797891
11,1.000750616
12,1.000705179
13,1.000661524
14,1.000619594
15,1.000579333
16,1.000540687
17,1.000503602
18,1.000468026
19,1.000433906
20,1.000401192
21,1.000369833
22,1.00033978
23,1.000310986
24,1.000283402
25,1.000256984
26,1.000231686
27,1.000207463
28,1.000184273
29,1.000162074
30,1.000140825
31,1.000120485
32,1.000101016
33,1.000082379
34,1.000064538
35,1.000047456
36,1.000031098
37,1.000015429
38,1.000000418
39,0.999986031
40,0.999972237
41,0.999959005
42,0.999946307
43,0.999934112
44,0.999922394
45,0.999911125
46,0.99990028
47,0.999889832
48,0.999879757
49,0.999870032
50,0.999860634
51,0.999851539
52,0.999842727
53,0.999834177
54,0.999825869
55,0.999817783
56,0.999809901
57,0.999802203
58,0.999794674
59,0.999787296
60,0.999780053
61,0.999772928
62,0.999765908
63,0.999758977
64,0.999752122
65,0.999745328
66,0.999738584
67,0.999731876
68,0.999725192
69,0.999718521
70,0.999711852
71,0.999705174
72,0.999698478
73,0.999691752
74,0.999684988
75,0.999678177
76,0.99967131
77,0.999664379
78,0.999657377
79,0.999650294
80,0.999643125
81,0.999635862
82,0.999628499
83,0.999621029
84,0.999613446
85,0.999605745
86,0.999597921
87,0.999589968
88,0.99958188
89,0.999573654
90,0.999565286
91,0.99955677
92,0.999548102
93,0.99953928
94,0.999530299
95,0.999521157
96,0.999511849
97,0.999502373
98,0.999492727
99,0.999482906
100,0.99947291
101,0.999462736
102,0.999452381
103,0.999441843
104,0.999431121
105,0.999420214
106,0.999409118
107,0.999397834
108,0.999386358
109,0.999374692
110,0.999362832
111,0.999350779
112,0.999338531
113,0.999326087
114,0.999313448
115,0.999300611
116,0.999287577
117,0.999274346
118,0.999260917
119,0.999247289
120,0.999233463
121,0.999219438
122,0.999205214
123,0.999190792
124,0.999176172
125,0.999161353
126,0.999146336
127,0.999131121
128,0.999115708
129,0.999100099
130,0.999084292
131,0.999068289
132,0.999052091
133,0.999035697
134,0.999019109
135,0.999002326
136,0.998985351
137,0.998968182
138,0.998950822
139,0.998933271
140,0.99891553
141,0.998897599
142,0.99887948
143,0.998861173
144,0.998842679
145,0.998823999
146,0.998805135
147,0.998786086
148,0.998766855
149,0.998747442
150,0.998727848
151,0.998708074
152,0.998688122
153,0.998667992
154,0.998647685
155,0.998627203
156,0.998606547
157,0.998585718
158,0.998564716
159,0.998543544
160,0.998522202
161,0.998500691
162,0.998479013
163,0.998457169
164,0.99843516
165,0.998412987
166,0.998390651
167,0.998368154
168,0.998345497
169,0.99832268
170,0.998299706
171,0.998276575
172,0.998253289
173,0.998229848
174,0.998206255
175,0.99818251
176,0.998158614
177,0.998134569
178,0.998110375
179,0.998086035
180,0.998061549
181,0.998036918
182,0.998012144
183,0.997987228
184,0.997962171
185,0.997936974
186,0.997911638
187,0.997886165
188,0.997860556
189,0.997834812
190,0.997808934
191,0.997782924
192,0.997756781
193,0.997730509
194,0.997704107
195,0.997677577
196,0.997650921
197,0.997624138
198,0.997597231
199,0.9975702
200,0.997543047
201,0.997515773
202,0.997488378
203,0.997460865
204,0.997433233
205,0.997405485
206,0.997377621
207,0.997349642
208,0.99732155
209,0.997293345
210,0.997265028
211,0.997236601
212,0.997208065
213,0.99717942
214,0.997150668
215,0.997121809
216,0.997092846
217,0.997063778
218,0.997034607
219,0.997005333
220,0.996975959
221,0.996946484
222,0.996916909
223,0.996887237
224,0.996857467
225,0.9968276
226,0.996797638
227,0.996767582
228,0.996737432
229,0.99670719
230,0.996676855
231,0.99664643
232,0.996615915
233,0.996585311
234,0.996554619
235,0.99652384
236,0.996492974
237,0.996462023
238,0.996430988
239,0.996399868
240,0.996368666
241,0.996337382
242,0.996306016
243,0.996274571
244,0.996243045
245,0.996211441
246,0.996179759
247,0.996148001
248,0.996116165
249,0.996084255
250,0.996052269
251,0.99602021
252,0.995988078
253,0.995955873
254,0.995923597
255,0.995891249
256,0.995858832
257,0.995826346
258,0.99579379
259,0.995761167
260,0.995728477
261,0.99569572
262,0.995662898
263,0.995630011
264,0.995597059
265,0.995564044
266,0.995530965
267,0.995497825
268,0.995464623
269,0.99543136
270,0.995398037
271,0.995364654
272,0.995331212
273,0.995297713
274,0.995264155
275,0.995230541
276,0.99519687
277,0.995163143
278,0.995129362
279,0.995095525
280,0.995061635
281,0.995027692
282,0.994993696
283,0.994959648
284,0.994925549
285,0.994891398
286,0.994857198
287,0.994822947
288,0.994788648
289,0.994754299
290,0.994719903
291,0.994685459
292,0.994650969
293,0.994616432
294,0.994581849
295,0.994547221
296,0.994512547
297,0.99447783
298,0.994443069
299,0.994408265
300,0.994373418
301,0.994338529
302,0.994303598
303,0.994268626
304,0.994233613
305,0.99419856
306,0.994163467
307,0.994128335
308,0.994093165
309,0.994057956
310,0.994022709
311,0.993987424
312,0.993952103
313,0.993916746
314,0.993881352
315,0.993845923
316,0.993810459
317,0.99377496
318,0.993739427
319,0.99370386
320,0.99366826
321,0.993632627
322,0.993596961
323,0.993561263
324,0.993525534
325,0.993489773
326,0.993453982
327,0.99341816
328,0.993382308
329,0.993346426
330,0.993310515
331,0.993274575
332,0.993238607
333,0.99320261
334,0.993166586
335,0.993130535
336,0.993094456
337,0.993058351
338,0.99302222
339,0.992986062
340,0.99294988
341,0.992913672
342,0.992877439
343,0.992841182
344,0.9928049
345,0.992768595
346,0.992732267
347,0.992695915
348,0.992659541
349,0.992623144
350,0.992586725
351,0.992550285
352,0.992513822
353,0.992477339
354,0.992440835
355,0.992404311
356,0.992367766
357,0.992331201
358,0.992294617
359,0.992258014
360,0.992221392
361,0.992184751
362,0.992148091
363,0.992111414
364,0.992074719
365,0.992038006
366,0.992001276
367,0.991964529
368,0.991927766
369,0.991890986
370,0.99185419
371,0.991817379
372,0.991780551
373,0.991743709
374,0.991706851
375,0.991669979
376,0.991633092
377,0.991596192
378,0.991559277
379,0.991522348
380,0.991485406
381,0.991448451
382,0.991411483
383,0.991374502
384,0.991337508
385,0.991300503
386,0.991263485
387,0.991226456
388,0.991189415
389,0.991152363
390,0.9911153
391,0.991078226
392,0.991041141
393,0.991004047
394,0.990966942
395,0.990929827
396,0.990892702
397,0.990855568
398,0.990818425
399,0.990781272
400,0.990744111
401,0.990706941
402,0.990669763
403,0.990632577
404,0.990595382
405,0.99055818
406,0.99052097
407,0.990483753
408,0.990446528
409,0.990409297
410,0.990372059
411,0.990334814
412,0.990297563
413,0.990260305
414,0.990223042
415,0.990185772
416,0.990148497
417,0.990111217
418,0.990073931
419,0.99003664
420,0.989999344
421,0.989962043
422,0.989924738
423,0.989887428
424,0.989850114
425,0.989812796
426,0.989775474
427,0.989738148
428,0.989700819
429,0.989663486
430,0.98962615
431,0.989588811
432,0.989551469
433,0.989514125
434,0.989476777
435,0.989439428
436,0.989402075
437,0.989364721
438,0.989327365
439,0.989290007
440,0.989252647
441,0.989215286
442,0.989177924
443,0.98914056
444,0.989103195
445,0.989065829
446,0.989028462
447,0.988991095
448,0.988953727
449,0.988916359
450,0.98887899
451,0.988841621
452,0.988804253
453,0.988766884
454,0.988729516
455,0.988692148
456,0.988654781
457,0.988617414
458,0.988580049
459,0.988542684
460,0.98850532
461,0.988467958
462,0.988430596
463,0.988393237
464,0.988355878
465,0.988318522
466,0.988281167
467,0.988243814
468,0.988206463
469,0.988169115
470,0.988131768
471,0.988094425
472,0.988057083
473,0.988019744
474,0.987982408
475,0.987945075
476,0.987907744
477,0.987870417
478,0.987833093
479,0.987795772
480,0.987758455
481,0.98772114
482,0.98768383
483,0.987646523
484,0.98760922
485,0.987571921
486,0.987534626
487,0.987497335
488,0.987460049
489,0.987422766
490,0.987385488
491,0.987348214
492,0.987310945
493,0.987273681
494,0.987236422
495,0.987199167
496,0.987161917
497,0.987124673
498,0.987087433
499,0.987050199
500,0.98701297
501,0.986975746
502,0.986938528
503,0.986901316
504,0.986864109
505,0.986826908
506,0.986789713
507,0.986752524
508,0.98671534
509,0.986678163
510,0.986640992
511,0.986603828
512,0.986566669
513,0.986529517
514,0.986492372
515,0.986455233
516,0.986418101
517,0.986380975
518,0.986343857
519,0.986306745
520,0.98626964
521,0.986232542
522,0.986195452
523,0.986158368
524,0.986121292
525,0.986084223
526,0.986047162
527,0.986010108
528,0.985973061
529,0.985936022
530,0.985898991
531,0.985861968
532,0.985824952
533,0.985787944
534,0.985750945
535,0.985713953
536,0.985676969
537,0.985639994
538,0.985603026
539,0.985566067
540,0.985529117
541,0.985492174
542,0.98545524
543,0.985418315
544,0.985381398
545,0.98534449
546,0.985307591
547,0.9852707
548,0.985233818
549,0.985196945
550,0.985160081
551,0.985123227
552,0.985086381
553,0.985049544
554,0.985012716
555,0.984975898
556,0.984939088
557,0.984902289
558,0.984865498
559,0.984828717
560,0.984791946
561,0.984755184
562,0.984718431
563,0.984681689
564,0.984644956
565,0.984608232
566,0.984571519
567,0.984534815
568,0.984498121
569,0.984461438
570,0.984424764
571,0.9843881
572,0.984351446
573,0.984314803
574,0.984278169
575,0.984241546
576,0.984204934
577,0.984168331
578,0.984131739
579,0.984095157
580,0.984058586
581,0.984022025
582,0.983985475
583,0.983948935
584,0.983912406
585,0.983875888
586,0.98383938
587,0.983802883
588,0.983766397
589,0.983729922
590,0.983693457
591,0.983657004
592,0.983620561
593,0.98358413
594,0.983547709
595,0.9835113
596,0.983474901
597,0.983438514
598,0.983402138
599,0.983365773
600,0.98332942
601,0.983293078
602,0.983256747
603,0.983220427
604,0.983184119
605,0.983147822
606,0.983111537
607,0.983075263
608,0.983039001
609,0.983002751
610,0.982966512
611,0.982930284
612,0.982894068
613,0.982857864
614,0.982821672
615,0.982785492
616,0.982749323
617,0.982713166
618,0.982677021
619,0.982640888
620,0.982604767
621,0.982568657
622,0.98253256
623,0.982496475
624,0.982460402
625,0.98242434
626,0.982388291
627,0.982352254
628,0.98231623
629,0.982280217
630,0.982244217
631,0.982208228
632,0.982172252
633,0.982136289
634,0.982100337
635,0.982064398
636,0.982028472
637,0.981992558
638,0.981956656
639,0.981920766
640,0.98188489
641,0.981849025
642,0.981813173
643,0.981777334
644,0.981741507
645,0.981705693
646,0.981669891
647,0.981634102
648,0.981598326
649,0.981562562
650,0.981526811
651,0.981491073
652,0.981455348
653,0.981419635
654,0.981383935
655,0.981348248
656,0.981312574
657,0.981276912
658,0.981241263
659,0.981205628
660,0.981170005
661,0.981134395
662,0.981098798
663,0.981063214
664,0.981027643
665,0.980992085
666,0.98095654
667,0.980921008
668,0.98088549
669,0.980849984
670,0.980814491
671,0.980779012
672,0.980743545
673,0.980708092
674,0.980672652
675,0.980637225
676,0.980601811
677,0.980566411
678,0.980531023
679,0.980495649
680,0.980460288
681,0.980424941
682,0.980389607
683,0.980354286
684,0.980318978
685,0.980283684
686,0.980248403
687,0.980213136
688,0.980177882
689,0.980142641
690,0.980107413
691,0.9800722
692,0.980036999
693,0.980001812
694,0.979966639
695,0.979931478
696,0.979896332
697,0.979861199
698,0.979826079
699,0.979790973
700,0.979755881
701,0.979720802
702,0.979685736
703,0.979650685
704,0.979615646
705,0.979580622
706,0.979545611
707,0.979510613
708,0.97947563
709,0.97944066
710,0.979405703
711,0.97937076
712,0.979335831
713,0.979300916
714,0.979266014
715,0.979231126
716,0.979196252
717,0.979161391
718,0.979126544
719,0.979091711
720,0.979056892
721,0.979022086
722,0.978987295
723,0.978952517
724,0.978917752
725,0.978883002
726,0.978848265
727,0.978813542
728,0.978778833
729,0.978744138
730,0.978709457
731,0.978674789
732,0.978640136
733,0.978605496
734,0.97857087
735,0.978536258
736,0.97850166
737,0.978467076
738,0.978432505
739,0.978397949
740,0.978363406
741,0.978328878
742,0.978294363
743,0.978259862
744,0.978225375
745,0.978190902
746,0.978156443
747,0.978121998
748,0.978087567
749,0.97805315
750,0.978018747
751,0.977984358
752,0.977949983
753,0.977915621
754,0.977881274
755,0.977846941
756,0.977812622
757,0.977778316
758,0.977744025
759,0.977709748
760,0.977675485
761,0.977641235
762,0.977607
763,0.977572779
764,0.977538572
765,0.977504379
766,0.9774702
767,0.977436035
768,0.977401884
769,0.977367747
770,0.977333624
771,0.977299515
772,0.97726542
773,0.97723134
774,0.977197273
775,0.97716322
776,0.977129182
777,0.977095157
778,0.977061147
779,0.977027151
780,0.976993168
781,0.9769592
782,0.976925246
783,0.976891306
784,0.97685738
785,0.976823468
786,0.97678957
787,0.976755687
788,0.976721817
789,0.976687962
790,0.97665412
791,0.976620293
792,0.97658648
793,0.97655268
794,0.976518895
795,0.976485124
796,0.976451367
797,0.976417625
798,0.976383896
799,0.976350181
800,0.976316481
801,0.976282795
802,0.976249122
803,0.976215464
804,0.97618182
805,0.97614819
806,0.976114574
807,0.976080972
808,0.976047384
809,0.976013811
810,0.975980251
811,0.975946706
812,0.975913174
813,0.975879657
814,0.975846154
815,0.975812665
816,0.97577919
817,0.975745729
818,0.975712282
819,0.975678849
820,0.975645431
821,0.975612026
822,0.975578636
823,0.975545259
824,0.975511897
825,0.975478549
826,0.975445215
827,0.975411894
828,0.975378588
829,0.975345296
830,0.975312019
831,0.975278755
832,0.975245505
833,0.975212269
834,0.975179048
835,0.97514584
836,0.975112646
837,0.975079467
838,0.975046301
839,0.97501315
840,0.974980013
841,0.974946889
842,0.97491378
843,0.974880685
844,0.974847604
845,0.974814536
846,0.974781483
847,0.974748444
848,0.974715419
849,0.974682408
850,0.974649411
851,0.974616428
852,0.974583459
853,0.974550503
854,0.974517562
855,0.974484635
856,0.974451722
857,0.974418823
858,0.974385938
859,0.974353067
860,0.974320209
861,0.974287366
862,0.974254537
863,0.974221722
864,0.97418892
865,0.974156133
866,0.974123359
867,0.9740906
868,0.974057854
869,0.974025123
870,0.973992405
871,0.973959701
872,0.973927011
873,0.973894335
874,0.973861673
875,0.973829025
876,0.973796391
877,0.97376377
878,0.973731164
879,0.973698571
880,0.973665993
881,0.973633428
