f,S21
0,NaN
0.001,1
0.002,1
0.003,0.999999999
0.004,0.999999998
0.005,0.999999995
0.006,0.999999989
0.007,0.99999998
0.008,0.999999965
0.009,0.999999945
0.01,0.999999915
0.011,0.999999876
0.012,0.999999825
0.013,0.999999758
0.014,0.999999675
0.015,0.999999572
0.016,0.999999446
0.017,0.999999294
0.018,0.999999113
0.019,0.9999989
0.02,0.999998651
0.021,0.999998363
0.022,0.999998032
0.023,0.999997653
0.024,0.999997225
0.025,0.999996742
0.026,0.999996201
0.027,0.999995598
0.028,0.99999493
0.029,0.999994191
0.03,0.999993379
0.031,0.99999249
0.032,0.999991519
0.033,0.999990462
0.034,0.999989317
0.035,0.999988078
0.036,0.999986743
0.037,0.999985307
0.038,0.999983768
0.039,0.999982122
0.04,0.999980365
0.041,0.999978494
0.042,0.999976507
0.043,0.9999744
0.044,0.999972169
0.045,0.999969812
0.046,0.999967326
0.047,0.999964708
0.048,0.999961955
0.049,0.999959063
0.05,0.999956032
0.051,0.999952857
0.052,0.999949537
0.053,0.999946069
0.054,0.999942451
0.055,0.999938681
0.056,0.999934757
0.057,0.999930678
0.058,0.999926441
0.059,0.999922045
0.06,0.999917487
0.061,0.999912766
0.062,0.999907881
0.063,0.999902829
0.064,0.99989761
0.065,0.999892222
0.066,0.999886663
0.067,0.999880933
0.068,0.999875031
0.069,0.999868956
0.07,0.999862707
0.071,0.999856283
0.072,0.999849684
0.073,0.999842908
0.074,0.999835956
0.075,0.999828826
0.076,0.999821518
0.077,0.999814031
0.078,0.999806366
0.079,0.99979852
0.08,0.999790495
0.081,0.99978229
0.082,0.999773905
0.083,0.999765341
0.084,0.999756596
0.085,0.999747672
0.086,0.999738568
0.087,0.999729285
0.088,0.999719822
0.089,0.999710181
0.09,0.99970036
0.091,0.99969036
0.092,0.999680181
0.093,0.999669825
0.094,0.99965929
0.095,0.999648578
0.096,0.999637689
0.097,0.999626624
0.098,0.999615384
0.099,0.999603969
0.1,0.99959238
0.101,0.999580617
0.102,0.999568682
0.103,0.999556575
0.104,0.999544296
0.105,0.999531846
0.106,0.999519226
0.107,0.999506437
0.108,0.999493479
0.109,0.999480354
0.11,0.999467062
0.111,0.999453605
0.112,0.999439983
0.113,0.999426198
0.114,0.99941225
0.115,0.99939814
0.116,0.99938387
0.117,0.999369441
0.118,0.999354853
0.119,0.999340107
0.12,0.999325204
0.121,0.999310146
0.122,0.999294933
0.123,0.999279567
0.124,0.999264048
0.125,0.999248378
0.126,0.999232559
0.127,0.99921659
0.128,0.999200474
0.129,0.999184212
0.13,0.999167805
0.131,0.999151253
0.132,0.999134558
0.133,0.999117722
0.134,0.999100745
0.135,0.999083628
0.136,0.999066373
0.137,0.99904898
0.138,0.999031451
0.139,0.999013787
0.14,0.99899599
0.141,0.998978061
0.142,0.998960001
0.143,0.99894181
0.144,0.998923492
0.145,0.998905045
0.146,0.998886473
0.147,0.998867775
0.148,0.998848954
0.149,0.99883001
0.15,0.998810943
0.151,0.998791757
0.152,0.998772451
0.153,0.998753027
0.154,0.998733487
0.155,0.998713831
0.156,0.998694061
0.157,0.998674178
0.158,0.998654183
0.159,0.998634077
0.16,0.998613861
0.161,0.998593538
0.162,0.998573107
0.163,0.998552569
0.164,0.998531927
0.165,0.998511181
0.166,0.998490332
0.167,0.998469381
0.168,0.99844833
0.169,0.998427181
0.17,0.998405933
0.171,0.998384588
0.172,0.998363147
0.173,0.998341611
0.174,0.998319983
0.175,0.998298261
0.176,0.998276449
0.177,0.998254546
0.178,0.998232553
0.179,0.998210472
0.18,0.998188305
0.181,0.998166051
0.182,0.998143713
0.183,0.99812129
0.184,0.998098785
0.185,0.998076198
0.186,0.998053531
0.187,0.998030783
0.188,0.998007957
0.189,0.997985054
0.19,0.997962074
0.191,0.997939018
0.192,0.997915888
0.193,0.997892683
0.194,0.997869406
0.195,0.997846058
0.196,0.997822639
0.197,0.99779915
0.198,0.997775592
0.199,0.997751967
0.2,0.997728274
0.201,0.997704516
0.202,0.997680692
0.203,0.997656805
0.204,0.997632854
0.205,0.997608841
0.206,0.997584767
0.207,0.997560632
0.208,0.997536437
0.209,0.997512184
0.21,0.997487874
0.211,0.997463506
0.212,0.997439082
0.213,0.997414602
0.214,0.997390068
0.215,0.997365481
0.216,0.997340841
0.217,0.997316149
0.218,0.997291406
0.219,0.997266612
0.22,0.997241769
0.221,0.997216877
0.222,0.997191937
0.223,0.997166951
0.224,0.997141918
0.225,0.997116839
0.226,0.997091716
0.227,0.997066548
0.228,0.997041337
0.229,0.997016083
0.23,0.996990788
0.231,0.996965451
