f,S21
0,1.000003677
1,1.000535757
2,1.001033694
3,1.001497985
4,1.001929124
5,1.002327603
6,1.002693911
7,1.003028538
8,1.003331967
9,1.003604683
10,1.003847166
11,1.004059895
12,1.004243345
13,1.004397989
14,1.004524296
15,1.004622733
16,1.004693766
17,1.004737853
18,1.004755453
19,1.004747021
20,1.004713007
21,1.004653859
22,1.004570021
23,1.004461933
24,1.004330034
25,1.004174757
26,1.00399653
27,1.003795782
28,1.003572933
29,1.003328403
30,1.003062606
31,1.002775953
32,1.002468852
33,1.002141704
34,1.00179491
35,1.001428864
36,1.001043958
37,1.000640578
38,1.000219107
39,0.999779925
40,0.999323405
41,0.998849919
42,0.998359833
43,0.99785351
44,0.997331307
45,0.99679358
46,0.996240677
47,0.995672946
48,0.995090726
49,0.994494357
50,0.993884171
51,0.993260498
52,0.992623662
53,0.991973985
54,0.991311783
55,0.99063737
56,0.989951053
57,0.989253138
58,0.988543924
59,0.987823709
60,0.987092784
61,0.986351437
62,0.985599953
63,0.984838612
64,0.984067691
65,0.983287461
66,0.982498192
67,0.981700146
68,0.980893586
69,0.980078767
70,0.979255942
71,0.97842536
72,0.977587267
73,0.976741904
74,0.975889508
75,0.975030313
76,0.97416455
77,0.973292445
78,0.97241422
79,0.971530096
80,0.970640287
81,0.969745006
82,0.968844462
83,0.967938859
84,0.967028399
85,0.96611328
86,0.965193697
87,0.964269842
88,0.963341902
89,0.962410063
90,0.961474505
91,0.960535407
92,0.959592943
93,0.958647287
94,0.957698606
95,0.956747065
96,0.955792828
97,0.954836054
98,0.953876898
99,0.952915516
100,0.951952056
101,0.950986666
102,0.950019492
103,0.949050674
104,0.948080352
105,0.947108662
106,0.946135737
107,0.945161708
108,0.944186703
109,0.943210847
110,0.942234263
111,0.941257071
112,0.940279389
113,0.93930133
114,0.938323009
115,0.937344534
116,0.936366014
117,0.935387553
118,0.934409255
119,0.933431219
120,0.932453544
121,0.931476326
122,0.930499658
123,0.929523632
124,0.928548337
125,0.927573859
126,0.926600284
127,0.925627694
128,0.92465617
129,0.923685791
130,0.922716633
131,0.92174877
132,0.920782277
133,0.919817222
134,0.918853676
135,0.917891705
136,0.916931374
137,0.915972746
138,0.915015883
139,0.914060845
140,0.91310769
141,0.912156473
142,0.91120725
143,0.910260073
144,0.909314993
145,0.908372061
146,0.907431324
147,0.906492829
148,0.90555662
149,0.904622742
150,0.903691236
151,0.902762143
152,0.901835501
153,0.900911349
154,0.899989723
155,0.899070657
156,0.898154184
157,0.897240338
158,0.89632915
159,0.895420647
160,0.89451486
161,0.893611815
162,0.892711538
163,0.891814053
164,0.890919384
165,0.890027554
166,0.889138584
167,0.888252493
168,0.887369301
169,0.886489026
170,0.885611684
171,0.884737291
172,0.883865862
173,0.882997411
174,0.882131951
175,0.881269493
176,0.880410049
177,0.879553627
178,0.878700238
179,0.87784989
180,0.877002589
181,0.876158342
182,0.875317154
183,0.874479031
184,0.873643977
185,0.872811993
186,0.871983083
187,0.871157249
188,0.87033449
189,0.869514807
190,0.8686982
191,0.867884667
192,0.867074206
193,0.866266814
194,0.865462488
195,0.864661224
196,0.863863017
197,0.863067861
198,0.862275752
199,0.861486683
200,0.860700645
201,0.859917633
202,0.859137637
203,0.858360648
204,0.857586659
205,0.856815658
206,0.856047635
207,0.85528258
208,0.854520482
209,0.853761327
210,0.853005106
211,0.852251804
212,0.851501409
213,0.850753906
214,0.850009283
215,0.849267525
216,0.848528617
217,0.847792544
218,0.847059291
219,0.846328841
220,0.845601178
221,0.844876287
222,0.844154149
223,0.843434748
224,0.842718067
225,0.842004087
226,0.84129279
227,0.840584158
228,0.839878172
229,0.839174814
230,0.838474064
231,0.837775902
232,0.837080309
233,0.836387265
234,0.83569675
235,0.835008744
236,0.834323225
237,0.833640173
238,0.832959567
239,0.832281385
240,0.831605608
241,0.830932212
242,0.830261176
243,0.829592479
244,0.828926097
245,0.82826201
246,0.827600195
247,0.82694063
248,0.826283291
249,0.825628156
250,0.824975203
251,0.824324409
252,0.82367575
253,0.823029203
254,0.822384746
255,0.821742355
256,0.821102007
257,0.820463679
258,0.819827346
259,0.819192987
260,0.818560576
261,0.817930091
262,0.817301507
263,0.816674802
264,0.816049952
265,0.815426932
266,0.814805719
267,0.81418629
268,0.813568621
269,0.812952687
270,0.812338466
271,0.811725933
272,0.811115065
273,0.810505838
274,0.809898229
275,0.809292213
276,0.808687767
277,0.808084868
278,0.807483492
279,0.806883616
280,0.806285215
281,0.805688267
282,0.805092749
283,0.804498636
284,0.803905906
285,0.803314536
286,0.802724503
287,0.802135783
288,0.801548353
289,0.800962191
290,0.800377274
291,0.79979358
292,0.799211085
293,0.798629767
294,0.798049604
295,0.797470574
296,0.796892654
297,0.796315822
298,0.795740057
299,0.795165336
300,0.794591637
301,0.79401894
302,0.793447222
303,0.792876463
304,0.792306641
305,0.791737734
306,0.791169722
307,0.790602585
308,0.7900363
309,0.789470849
310,0.78890621
311,0.788342363
312,0.787779288
313,0.787216965
314,0.786655375
315,0.786094497
316,0.785534312
317,0.784974801
318,0.784415944
319,0.783857723
320,0.783300119
321,0.782743113
322,0.782186686
323,0.78163082
324,0.781075498
325,0.7805207
326,0.77996641
327,0.779412609
328,0.77885928
329,0.778306406
330,0.77775397
331,0.777201954
332,0.776650343
333,0.776099119
334,0.775548266
335,0.774997769
336,0.77444761
337,0.773897774
338,0.773348246
339,0.772799011
340,0.772250052
341,0.771701356
342,0.771152906
343,0.77060469
344,0.770056691
345,0.769508897
346,0.768961292
347,0.768413864
348,0.767866598
349,0.767319482
350,0.766772501
351,0.766225644
352,0.765678896
353,0.765132246
354,0.764585682
355,0.76403919
356,0.76349276
357,0.762946378
358,0.762400035
359,0.761853718
360,0.761307416
361,0.760761119
362,0.760214815
363,0.759668495
364,0.759122147
365,0.758575762
366,0.75802933
367,0.757482841
368,0.756936286
369,0.756389655
370,0.75584294
371,0.755296131
372,0.75474922
373,0.754202199
374,0.75365506
375,0.753107794
376,0.752560393
377,0.75201285
378,0.751465158
379,0.75091731
380,0.750369298
381,0.749821116
382,0.749272758
383,0.748724216
384,0.748175485
385,0.747626559
386,0.747077432
387,0.746528099
388,0.745978555
389,0.745428794
390,0.744878811
391,0.744328602
392,0.743778162
393,0.743227487
394,0.742676573
395,0.742125416
396,0.741574012
397,0.741022358
398,0.74047045
399,0.739918286
400,0.739365862
401,0.738813176
402,0.738260225
403,0.737707007
404,0.73715352
405,0.736599762
406,0.736045731
407,0.735491425
408,0.734936844
409,0.734381986
410,0.733826849
411,0.733271434
412,0.732715739
413,0.732159764
414,0.731603508
415,0.731046973
416,0.730490157
417,0.729933061
418,0.729375686
419,0.728818032
420,0.728260099
421,0.727701889
422,0.727143403
423,0.726584642
424,0.726025608
425,0.725466302
426,0.724906726
427,0.724346882
428,0.723786773
429,0.723226399
430,0.722665764
431,0.722104871
432,0.721543722
433,0.72098232
434,0.720420667
435,0.719858769
436,0.719296626
437,0.718734244
438,0.718171626
439,0.717608775
440,0.717045696
441,0.716482392
442,0.715918868
443,0.715355128
444,0.714791176
445,0.714227018
446,0.713662658
447,0.713098101
448,0.712533351
449,0.711968415
450,0.711403297
451,0.710838003
