f,S21
0,NaN
1,0.999999995
2,0.999999914
3,0.999999563
4,0.999998619
5,0.999996626
6,0.999992998
7,0.99998702
8,0.999977842
9,0.999964491
10,0.99994587
11,0.999920769
12,0.999887879
13,0.999845809
14,0.999793118
15,0.999728347
16,0.99965006
17,0.999556897
18,0.999447621
19,0.999321171
20,0.999176705
21,0.999013616
22,0.998831539
23,0.998630308
24,0.998409889
25,0.998170275
26,0.997911348
27,0.997632744
28,0.997333723
29,0.997013086
30,0.996669176
31,0.996300012
32,0.995903562
33,0.995478163
34,0.995023007
35,0.99453853
36,0.99402656
37,0.993490109
38,0.992932859
39,0.992358528
40,0.991770289
41,0.991170391
42,0.990559996
43,0.989939169
44,0.989306995
45,0.988661753
46,0.988001191
47,0.987322901
48,0.986624831
49,0.98590586
50,0.985166284
51,0.984407984
52,0.983634154
53,0.982848667
54,0.982055335
55,0.981257315
56,0.980456774
57,0.979654778
58,0.978851324
59,0.978045449
60,0.97723539
61,0.976418839
62,0.975593353
63,0.974756932
64,0.973908702
65,0.97304942
66,0.972181509
67,0.971308498
68,0.970434147
69,0.969561672
70,0.968693322
71,0.967830287
72,0.966972785
73,0.966120197
74,0.96527118
75,0.96442379
76,0.963575683
77,0.962724522
78,0.961868644
79,0.961007829
80,0.960143716
81,0.959279444
82,0.958418652
83,0.957564473
84,0.956719005
85,0.955883262
86,0.955057363
87,0.954240716
88,0.95343214
89,0.952629913
90,0.951831835
91,0.951035422
92,0.950238445
93,0.949439821
94,0.94864044
95,0.94784314
96,0.947051563
97,0.946268803
98,0.94549674
99,0.944736108
100,0.943986829
101,0.943248278
102,0.942519403
103,0.941798721
104,0.941084263
105,0.940373581
106,0.939664049
107,0.938953722
108,0.938242587
109,0.937533091
110,0.936828954
111,0.93613329
112,0.935447769
113,0.934772876
114,0.934108431
115,0.933453896
116,0.932808438
117,0.93217088
118,0.931539575
119,0.930912296
120,0.930286305
121,0.92965898
122,0.929029341
123,0.928399353
124,0.927772842
125,0.927152873
126,0.926540697
127,0.925936438
128,0.925339889
129,0.924750789
130,0.924168748
131,0.923593063
132,0.923022549
133,0.922455372
134,0.921888956
135,0.921320301
136,0.920747512
137,0.920172026
138,0.919597923
139,0.919028178
140,0.918463343
141,0.917902956
142,0.917346747
143,0.916794844
144,0.916247434
145,0.915704386
146,0.915165026
147,0.914628009
148,0.914091163
149,0.913551497
150,0.913006427
151,0.912456903
152,0.91190751
153,0.911361147
154,0.910817393
155,0.910274953
156,0.909733366
157,0.909193177
158,0.908655249
159,0.908120045
160,0.907587338
161,0.9070562
162,0.906524915
163,0.905990771
164,0.905450775
165,0.904905482
166,0.904360301
167,0.903818083
168,0.903277371
169,0.902735997
170,0.902193115
171,0.901649573
172,0.901106935
173,0.900566216
174,0.900027479
175,0.899490041
176,0.898952568
177,0.898412749
178,0.897867418
179,0.897316844
180,0.896767477
181,0.896221889
182,0.895677734
183,0.895132268
184,0.894584145
185,0.894034282
186,0.893484965
187,0.892937722
188,0.892392689
189,0.891849208
190,0.891306171
191,0.890761646
192,0.89021243
193,0.889658705
194,0.889108022
195,0.888562087
196,0.888018002
197,0.887472964
198,0.886925157
199,0.886375224
200,0.885826138
201,0.885279918
202,0.884736561
203,0.884195286
204,0.883655109
205,0.883114406
206,0.882569957
207,0.882022237
208,0.881479571
209,0.88094204
210,0.880406713
211,0.879871188
212,0.879333374
213,0.878793345
214,0.878254692
215,0.87771984
216,0.877188437
217,0.876659528
218,0.876132242
219,0.8756052
220,0.875075124
221,0.874543509
222,0.874018419
223,0.873498011
224,0.872979856
225,0.872462127
226,0.871942671
227,0.871420859
